core.externalId,core.name,Parent: Business Term,Parent: Domain,Parent: Subdomain,Parent: System,core.description,core.assetLifecycle,com.infa.ccgf.models.governance.isCDE,com.infa.ccgf.models.governance.FormatDescription,com.infa.ccgf.models.governance.FormatType,com.infa.ccgf.models.governance.securityClassification,com.infa.ccgf.models.governance.Examples,com.infa.ccgf.models.governance.BusinessLogic,com.infa.ccgf.models.governance.AliasNames,com.infa.odin.models.custom.ca_8269725092080610514,com.infa.odin.models.custom.ca_5211450685878080937,com.infa.odin.models.custom.ca_5158005540324682982,com.infa.odin.models.custom.ca_810120234191396501,com.infa.odin.models.custom.ca_3640948772104234602,Classifications,Stakeholder: Admin,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
Instructor-businessterm-50,Product Id Type,,Product | Instructor-domain-8,,,Flag that indicates whether the value is a Yes or a No for the specified lifestyle ID,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Product/Product Id Type,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,0388f509-cb99-434a-af87-c42b32a909db,CDGC://56298ec2-d512-44bf-849f-8d2680d1dfc6/0388f509-cb99-434a-af87-c42b32a909db,CDGC
GLOS-1054,Document ID,,,Performance Management & Career Development | GLOS-910,,is a unique code assigned to a document which related to the performance management reports. It helps identify and manage documents efficiently.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Talent & Performance/Performance Management & Career Development/Document ID,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Sep 19, 2024, 06:58:25 AM",infa_admin,039ead91-bbc6-417b-b8c1-be2ca5b8d59d,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/90efae37-5038-47c0-9b26-e0b2d171614c/8fef368b-e25d-44c4-bf69-c5d27ddfd4e5/039ead91-bbc6-417b-b8c1-be2ca5b8d59d,CDGC
GLOS-981,Native Preferred Language,,,Hiring & Onboarding | GLOS-915,,The  employee's native or preferred language within ZATCA.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Talent Acquisition/Hiring & Onboarding/Native Preferred Language,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,06202465-acbf-4e10-b60b-a798586be303,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/9c4da1a2-fb79-47f4-a0ff-077e35957e9c/7ff71694-939d-4427-b51e-95bb8276414e/06202465-acbf-4e10-b60b-a798586be303,CDGC
Instructor-businessterm-82,Preferred Contact Method,,,Customer | Instructor-subdomain-6,,A net protected domain uses a third party service or appliance to filter and detect spam e-mail. The net protect Codes identify which service or appliance is monitoring a given network.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Person/Customer/Preferred Contact Method,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,07f47da2-a9e4-4c14-8905-47ad8b54ada3,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/d1868098-0fd2-454d-a55b-6b110d18f2ce/07f47da2-a9e4-4c14-8905-47ad8b54ada3,CDGC
Instructor-businessterm-121,Email Validation Status Code,,,Party Electronic Address | Instructor-subdomain-22,,Flag to indicate if address is registered,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Electronic Address/Email Validation Status Code,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,0a2d1eeb-1e7e-4ed2-a6e0-47710d0dfbe1,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/b7540c7a-4038-4e02-a9fa-c9f51acf92a7/0a2d1eeb-1e7e-4ed2-a6e0-47710d0dfbe1,CDGC
GLOS-996,Level 2 Type (Picklist Label),,,OD & Manpower Planning | GLOS-918,,"The type or category of Level 2 in the position hierarchy, often based on structure.",Published,true,,Text,Public,,"<p></p>
<p>When a value is selected in Level 2 type, Level 3 type should dynamically update to display only the relevant options that correspond to the selected Level 2 type</p>
<p></p>
<p>This field should only accept values that are predefined for Level 2 Type (Picklist Label)</p>",,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/HC COE/OD & Manpower Planning/Level 2 Type (Picklist Label),Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,0d8a0be1-b162-4d0c-98f3-4bed7298ac1b,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/d7855461-546b-487f-a589-593392eae9b2/e340a38e-6ac3-4db8-a04f-eb444b07b408/0d8a0be1-b162-4d0c-98f3-4bed7298ac1b,CDGC
BT-73,Salry,,,Employees | SDOM-32,,,Published,false,,Number,Confidential,,,,Unrestricted,NONE,,,,"",,,,,"","","","",,B2B_DWH_Sa/Employees/Salry,Update,"Mar 03, 2025, 11:45:40 AM",Sanjai,"Mar 03, 2025, 11:45:40 AM",Sanjai,0dded4bd-aa0d-4ffb-9e1d-b60cd5aafcb3,CDGC://f7f172c4-8f8e-4a44-aa54-119b556f1b5f/a3ea8246-4df7-45e9-a95b-c1d87013e62b/0dded4bd-aa0d-4ffb-9e1d-b60cd5aafcb3,CDGC
BT-6,Department name,,,Department | SDOM-2,,,Published,false,,Text,Internal,,,department name,,,,,,"",,Adeno,,,"","","","",Assigned,Human_resource/Department/Department name,Update,"Sep 26, 2024, 05:12:48 AM",Sherin,"Sep 26, 2024, 05:12:48 AM",Sherin,10623b6a-c85b-4f6f-bf77-010fd7f85f33,CDGC://b824c3be-60ae-4db2-9d47-58a2e2d2e900/59726ddc-0afa-4e9e-aebd-a6df22666732/10623b6a-c85b-4f6f-bf77-010fd7f85f33,CDGC
Instructor-businessterm-29,Campaign Type,,Campaign | Instructor-domain-4,,,Employee's marital status for health benefits purposes,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Campaign/Campaign Type,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,11b0545d-aba8-4b7f-805f-7bb0bcdc537d,CDGC://2ae5aecc-7eba-467a-8498-3e0824a49b83/11b0545d-aba8-4b7f-805f-7bb0bcdc537d,CDGC
Instructor-businessterm-113,Communication Type,,,Party Communication Preference | Instructor-subdomain-19,,"party status types, such as onboarding, credit, legal, and financial.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Communication Preference/Communication Type,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,17a92627-0319-4af5-bd62-f756f46ddd02,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/6cccc62a-80a1-4827-8bd1-d6c5e3d35adf/17a92627-0319-4af5-bd62-f756f46ddd02,CDGC
TERM-11,Date of Birth Emp,,,Employee Details | Subdomain-1,,Date of Birth of the Employee,Published,false,,Text,,,,Date of Birth,,,,,,"",,anfeezas,,,"","","","",Assigned,AS_HR/Employee Details/Date of Birth Emp,Update,"Jan 13, 2025, 05:28:32 AM",anfeezas,"Jan 13, 2025, 05:28:32 AM",anfeezas,1954c672-cfac-4be1-874f-34c7ff100d85,CDGC://cc017be5-6641-411a-8949-d0f5d2ccda45/3664eeb3-5f92-483e-a55d-71575e4e0c65/1954c672-cfac-4be1-874f-34c7ff100d85,CDGC
GLOS-1097,Status,,,Sourcing and Assessment | GLOS-916,,The current status of record . For eg Completed,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Talent Acquisition/Sourcing and Assessment/Status,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,1a135d53-959f-4efa-9108-ccab6621507a,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/9c4da1a2-fb79-47f4-a0ff-077e35957e9c/33064f6b-71c5-4898-ba81-0ba8fb7414bb/1a135d53-959f-4efa-9108-ccab6621507a,CDGC
BT-137,JobTitle,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,JobTitle,Update,"Mar 19, 2025, 12:06:47 PM",AshikaA,"Mar 19, 2025, 12:06:47 PM",AshikaA,1a83242c-046f-4bac-b343-a3d3afec2c08,CDGC://1a83242c-046f-4bac-b343-a3d3afec2c08,CDGC
