core.externalId,core.name,core.description,com.infa.ccgf.models.governance.TechnicalDescription,core.assetLifecycle,com.infa.ccgf.models.governance.Frequency,com.infa.ccgf.models.governance.ruleInputPortName,com.infa.ccgf.models.governance.scannedTime,com.infa.ccgf.models.governance.TechnicalRuleReference,com.infa.ccgf.models.governance.Threshold,com.infa.ccgf.models.governance.exception,com.infa.ccgf.models.governance.RuleType,com.infa.ccgf.models.governance.MeasuringMethod,com.infa.ccgf.models.governance.value,com.infa.ccgf.models.governance.totalCount,com.infa.ccgf.models.governance.Criticality,com.infa.ccgf.models.governance.Target,Primary Data Element,Secondary Data Element,Stakeholder: Admin,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
DQO-68,RO_null check,,"",Published,,,2025-03-20T07:33:06.303,ezvoXcauFeiiiNcGwmQqof,70.00,0,Completeness,InformaticaCloudDataQuality,100.00,6,,90.00,47a502d9-2ef5-316a-ae23-8e12cf8cdcb3://XE/DEMO/BEENU_EMP/FIRSTNAME~com.infa.odin.models.relational.Column,"",,,Manoj11,,"","","","",Assigned,beenu_emp_catlog/XE/DEMO/BEENU_EMP/FIRSTNAME/RO_null check,Update,"Mar 13, 2025, 01:43:23 PM",Manoj11,"Mar 20, 2025, 07:35:00 AM",infa_admin,18301684-b54d-4a89-a2e0-b57a053c7c7b,47a502d9-2ef5-316a-ae23-8e12cf8cdcb3://47a502d9-2ef5-316a-ae23-8e12cf8cdcb3/XE/DEMO/BEENU_EMP/FIRSTNAME/18301684-b54d-4a89-a2e0-b57a053c7c7b,47a502d9-2ef5-316a-ae23-8e12cf8cdcb3
DQO-53,RO_LastName_Check,,-,Published,,LastName,2025-01-14T12:05:16.558,7dWlL4X7OVub3qgOuWw3o2,70.00,2,Consistency,BusinessExtract,80.00,10,Medium,90.00,c4e44051-2ed8-3751-89ed-64f021698a3e://FileServer/E:/FlatFile/CUSTOMER.csv/LAST NAME~com.infa.odin.models.file.flat.FlatField,c4e44051-2ed8-3751-89ed-64f021698a3e://FileServer/E:/FlatFile/CUSTOMER.csv/FIRSTNAME~com.infa.odin.models.file.flat.FlatField,,AswathyNagarajan;RahinR,,,"","","","",Inherited,SRC_FF_RAH/File Server/E:/FlatFile/CUSTOMER.csv/LAST NAME/RO_LastName_Check,Update,"Jan 14, 2025, 11:28:57 AM",AswathyNagarajan,"Jan 14, 2025, 12:07:21 PM",AswathyNagarajan,250267b3-2e26-4891-8425-64264fdbd54a,c4e44051-2ed8-3751-89ed-64f021698a3e://c4e44051-2ed8-3751-89ed-64f021698a3e/File Server/E:/FlatFile/CUSTOMER.csv/LAST NAME/250267b3-2e26-4891-8425-64264fdbd54a,c4e44051-2ed8-3751-89ed-64f021698a3e
8d748053-50f8-4071-b6a1-e134177235c7,Riswin_ID_PrimaryRuleSet,TEST,"",Published,Daily,,2025-03-17T05:23:50.751,5b70XnP91GgfKySjyMBAmR,84.00,0,Validity,InformaticaCloudDataQuality,100.00,6,High,95.00,,"",,,Manoj11,,"","","","",Assigned,Riswin_ID_PrimaryRuleSet,Update,"Mar 16, 2025, 10:58:53 AM",Manoj11,"Mar 17, 2025, 05:23:50 AM",Manoj11,25964078-d1e6-4caa-9ccb-ac814f032de2,CDGC://25964078-d1e6-4caa-9ccb-ac814f032de2,CDGC
d2a8a741-43ee-4d24-82a2-db17922d0cdd,validity_test_PrimaryRuleSet,TEST,"",Published,Daily,,,5b70XnP91GgfKySjyMBAmR,84.00,,Validity,InformaticaCloudDataQuality,,,High,95.00,,"",,,Manoj11,,"","","","",Assigned,validity_test_PrimaryRuleSet,Update,"Mar 17, 2025, 07:59:41 AM",Manoj11,"Mar 17, 2025, 07:59:45 AM",Manoj11,27f00e06-24db-4900-bbba-c0637a290264,CDGC://27f00e06-24db-4900-bbba-c0637a290264,CDGC
DQO-78,DQRO_Valid_AccountID,,Checking null values,Published,Weekly,,2025-03-19T13:01:47.91,5yqRwfWOZ4iiS2Wtoma9u8,70.00,0,Accuracy,InformaticaCloudDataQuality,100.00,10,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/BankAccount/AccountID~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/BankAccount/AccountID/DQRO_Valid_AccountID,Update,"Mar 18, 2025, 06:45:40 AM",abish,"Mar 19, 2025, 01:04:38 PM",abish,2ced24f7-ae07-436d-97e0-3347e4b1b90e,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/BankAccount/AccountID/2ced24f7-ae07-436d-97e0-3347e4b1b90e,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
DQO-47,RO_Check_PHN_Validity_Demo,,"-The phone number should not be empty
-It has only digits",Published,Weekly,Phone,,5hVmVi0GKQYdzn6Iwjtes3,70.00,,Validity,InformaticaCloudDataQuality,,,Medium,90.00,968aa2f4-48bf-31e7-a4c7-804abbcea134://FileServer/D:/Book1.csv/Phone~com.infa.odin.models.file.flat.FlatField,"",,,,,"","","","",,SC_FF/File Server/D:/Book1.csv/Phone/RO_Check_PHN_Validity_Demo,Update,"Jan 09, 2025, 08:09:23 AM",AswathyNagarajan,"Jan 09, 2025, 08:09:23 AM",AswathyNagarajan,38f9d373-58bd-4fd3-9729-873de6474415,968aa2f4-48bf-31e7-a4c7-804abbcea134://968aa2f4-48bf-31e7-a4c7-804abbcea134/File Server/D:/Book1.csv/Phone/38f9d373-58bd-4fd3-9729-873de6474415,968aa2f4-48bf-31e7-a4c7-804abbcea134
DQO-88,DQRO_SUBJECT,,-,Published,Weekly,,2025-03-19T13:01:35.537,0q44jO9ykoshTdImYUTH4m,70.00,0,Consistency,InformaticaCloudDataQuality,100.00,9,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/STUDENTS/SUBJECT~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/STUDENTS/SUBJECT/DQRO_SUBJECT,Update,"Mar 19, 2025, 11:27:04 AM",AshikaA,"Mar 19, 2025, 01:04:38 PM",abish,453e5de9-fcf7-4410-822a-6bee9343147a,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/STUDENTS/SUBJECT/453e5de9-fcf7-4410-822a-6bee9343147a,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
DQO-49,Customer Name,,-,Published,Weekly,,2025-01-30T14:04:39.966,8XwoOBhWxyaksVKvxqwK2B,70.00,0,Completeness,InformaticaCloudDataQuality,100.00,8,Medium,90.00,5f4b9f8a-bcb2-3997-ba96-3f145ca1eb21://xe/DEMO/RISWIN_SD2_TARGET/EMP_NAME~com.infa.odin.models.relational.Column,"",,RiswinT,,,"","","","",Assigned,Riswin_TEST_1/xe/DEMO/RISWIN_SD2_TARGET/EMP_NAME/Customer Name,Update,"Jan 09, 2025, 12:57:15 PM",RiswinT,"Jan 30, 2025, 02:06:53 PM",RiswinT,4eb0e39b-eaba-4790-bca0-db15ad11534e,5f4b9f8a-bcb2-3997-ba96-3f145ca1eb21://5f4b9f8a-bcb2-3997-ba96-3f145ca1eb21/xe/DEMO/RISWIN_SD2_TARGET/EMP_NAME/4eb0e39b-eaba-4790-bca0-db15ad11534e,5f4b9f8a-bcb2-3997-ba96-3f145ca1eb21
DQO-82,DQRO_PersonID,,-,Published,Weekly,,2025-03-19T13:01:36.206,0q44jO9ykoshTdImYUTH4m,70.00,1,Consistency,InformaticaCloudDataQuality,90.00,10,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/VehicleOwnership/PersonID~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/VehicleOwnership/PersonID/DQRO_PersonID,Update,"Mar 19, 2025, 11:06:01 AM",AshikaA,"Mar 19, 2025, 01:04:38 PM",abish,54f2e4e8-0647-4a91-80f4-7e87ef690656,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/VehicleOwnership/PersonID/54f2e4e8-0647-4a91-80f4-7e87ef690656,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
DQO-17,DQRO_date,,-,Published,Weekly,,2024-10-01T06:18:09.711,8VELQ2us6gihXdCudtWVW8,70.00,0,Validity,InformaticaCloudDataQuality,100.00,107,Medium,90.00,b68dfe13-48bf-377d-8362-6c5fb2c83697://xe/HR/EMPLOYEES/HIRE_DATE~com.infa.odin.models.relational.Column,"",,,kaviya;infa_admin,,"","","","",Inherited,Oracle_HR/xe/HR/EMPLOYEES/HIRE_DATE/DQRO_date,Update,"Sep 25, 2024, 01:22:28 PM",CajorinM,"Oct 01, 2024, 06:20:05 AM",kaviya,5611bcec-c0a6-4718-a0b0-62f0362bf606,b68dfe13-48bf-377d-8362-6c5fb2c83697://b68dfe13-48bf-377d-8362-6c5fb2c83697/xe/HR/EMPLOYEES/HIRE_DATE/5611bcec-c0a6-4718-a0b0-62f0362bf606,b68dfe13-48bf-377d-8362-6c5fb2c83697
