core.externalId,core.name,core.description,com.infa.ccgf.models.governance.TechnicalDescription,core.assetLifecycle,com.infa.ccgf.models.governance.TechnicalRuleReference,com.infa.ccgf.models.governance.Threshold,com.infa.ccgf.models.governance.Criticality,com.infa.ccgf.models.governance.RuleType,core.enableAutomation,com.infa.ccgf.models.governance.MeasuringMethod,com.infa.ccgf.models.governance.ruleInputPortName,com.infa.ccgf.models.governance.Target,com.infa.ccgf.models.governance.Frequency,Primary Glossary,Secondary Glossary,Stakeholder: Admin,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
DQT-5,DQRT_cajo,,"",Published,8VELQ2us6gihXdCudtWVW8,70.00,Medium,Validity,,InformaticaCloudDataQuality,NewInput1,90.00,Weekly,Date of Birth,"",,,,,"","","","",,DQRT_date,Update,"Sep 25, 2024, 01:17:02 PM",CajorinM,"Sep 25, 2024, 01:17:02 PM",CajorinM,130bae39-d107-4bd6-bb57-af3f53d5931d,CDGC://130bae39-d107-4bd6-bb57-af3f53d5931d,CDGC
DQT-20,DQRT-Zip Code,,-,Published,58bMv1O0I1pdewxzZOzBWI,70.00,Medium,Accuracy,,InformaticaCloudDataQuality,Zip_Code,90.00,Weekly,Zip Code,"",,Selciya,,,"","","","",Assigned,DQRT-Zip Code,Update,"Jan 13, 2025, 10:05:15 AM",Selciya,"Jan 13, 2025, 10:05:21 AM",Selciya,1894613f-68c0-4c93-978e-192e33470759,CDGC://1894613f-68c0-4c93-978e-192e33470759,CDGC
name,Name,,-,Published,8XwoOBhWxyaksVKvxqwK2B,70.00,Medium,Completeness,,InformaticaCloudDataQuality,NewInput1,90.00,Weekly,EMP Name,"",,RiswinT,,,"","","","",Assigned,Name,Update,"Jan 09, 2025, 12:46:29 PM",RiswinT,"Jan 09, 2025, 12:46:33 PM",RiswinT,24fee7fa-d1dd-414c-a290-eed391affe72,CDGC://24fee7fa-d1dd-414c-a290-eed391affe72,CDGC
DQT-31,DQRT_Check_valid_AccountNumber,,-,Published,e5sQuFiJHSCf4IvtwY0AqG,70.00,Medium,Completeness,,InformaticaCloudDataQuality,NewInput1,90.00,Weekly,Banking_AccountNumber,"",,,,,"","","","",,DQRT_Check_valid_AccountNumber,Update,"Mar 18, 2025, 06:36:13 AM",abish,"Mar 18, 2025, 06:36:13 AM",abish,25a3cf58-ed4d-4dd4-8689-d1a8fae52af5,CDGC://25a3cf58-ed4d-4dd4-8689-d1a8fae52af5,CDGC
DQT-41,DQRT_VehicleID,,-,Published,0PbMC4XwKlzaZRRNFx79Sv,70.00,Medium,Consistency,,InformaticaCloudDataQuality,NewInput1,90.00,Weekly,VehicleID,"",,,,,"","","","",,DQRT_VehicleID,Update,"Mar 19, 2025, 11:07:25 AM",AshikaA,"Mar 19, 2025, 11:07:25 AM",AshikaA,2b438260-78e0-414c-b32a-5339ef4789da,CDGC://2b438260-78e0-414c-b32a-5339ef4789da,CDGC
DQT-24,emp2_temp,,-,Published,gMsw329ItsCky42x5myZi4,70.00,Medium,Completeness,,InformaticaCloudDataQuality,NewInput1,90.00,Weekly,emp1_bt,"",,beenu,,,"","","","",Assigned,emp2_temp,Update,"Jan 15, 2025, 07:52:02 AM",beenu,"Jan 15, 2025, 07:52:06 AM",beenu,35018f20-4479-4c6c-9e54-cf28599dd7ae,CDGC://35018f20-4479-4c6c-9e54-cf28599dd7ae,CDGC
DQT-35,Rule Template_john_BT_Bank_Name,,Phone number cannot be empty.,Published,1gbVf96E8IQbD0J5DWmAiw,70.00,Medium,Validity,true,InformaticaCloudDataQuality,_john_BT_Bank_Name,90.00,Weekly,_john_BT_Bank_Name,"",infa_admin,,,,"","","","",Assigned,Rule Template_john_BT_Bank_Name,Update,"Mar 18, 2025, 11:48:17 AM",infa_admin,"Mar 18, 2025, 11:48:20 AM",infa_admin,5684d11e-e84d-4245-8d59-d36ad754214b,CDGC://5684d11e-e84d-4245-8d59-d36ad754214b,CDGC
DQT-18,Phone_Validity(Demo),,-,Published,et2abLzXCA1eqT1Gh2EvU5,70.00,Medium,Validity,,InformaticaCloudDataQuality,Phone,90.00,Weekly,Phone,"",,,Jaishar,,"","","","",Assigned,Phone_Validity(Demo),Update,"Jan 09, 2025, 06:47:33 AM",Jaishar,"Jan 09, 2025, 09:29:36 AM",Jaishar,648a4209-2445-42f3-96f2-23900e9d5da8,CDGC://648a4209-2445-42f3-96f2-23900e9d5da8,CDGC
DQT-3,DQRT_CountryId,,The rule used to check whether the CountryCode is accurate.,Published,3ZyeIbYtxLubyJz7SgI7KZ,60.00,Medium,Accuracy,,InformaticaCloudDataQuality,CountryCode,80.00,,Country Code,"",,,infa_admin;AswathyNagarajan;kaviya,,"","","","",Assigned,DQRT_CountryId,Update,"Sep 25, 2024, 12:27:40 PM",kaviya,"Sep 25, 2024, 12:27:40 PM",kaviya,6ac2cdee-cdb2-41ea-81e8-44daa2b6a25e,CDGC://6ac2cdee-cdb2-41ea-81e8-44daa2b6a25e,CDGC
DQT-29,Test Rule Template,Test,Phone number cannot be empty.,Published,52ZQdS1u8i6eoTWq01ivyZ,70.00,Medium,Completeness,,InformaticaCloudDataQuality,_john_BT_AccountNumber,90.00,Weekly,_john_BT_AccountNumber,"",,,,infa_admin,"","","","",Assigned,Test Rule Template,Update,"Mar 18, 2025, 05:09:33 AM",infa_admin,"Mar 18, 2025, 05:09:38 AM",infa_admin,7254c83a-d137-4227-aebf-d977cbd98364,CDGC://7254c83a-d137-4227-aebf-d977cbd98364,CDGC
