core.externalId,core.name,core.description,core.assetLifecycle,Alias Names,Stakeholder: Admin,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
DOM-5,Human_resource,DEP Table,Published,HR,,,,,"","","","",,Human_resource,Update,"Sep 26, 2024, 04:57:40 AM",Deleted,"Sep 26, 2024, 04:57:40 AM",Deleted,0359038c-31fb-4e4e-afb5-14c875d22bb1,CDGC://0359038c-31fb-4e4e-afb5-14c875d22bb1,CDGC
DOM-7,AS_Employee,,Published,EmpDet,,anfeezas,kaviya,,"","","","",Assigned,AS_Employee,Update,"Sep 29, 2024, 06:08:59 AM",anfeezas,"Sep 30, 2024, 07:21:27 AM",anfeezas,1a8445ea-a27c-4ba3-b67c-33d8a69074a2,CDGC://1a8445ea-a27c-4ba3-b67c-33d8a69074a2,CDGC
DOM-4,Human_resourse_hh,,Published,,,,HannibalHenry,,"","","","",Assigned,Human_resourse_hh,Update,"Sep 26, 2024, 04:48:40 AM",HannibalHenry,"Sep 26, 2024, 04:48:40 AM",HannibalHenry,340441fd-bbf3-48eb-ae9a-94413cb19f4f,CDGC://340441fd-bbf3-48eb-ae9a-94413cb19f4f,CDGC
DOM-3,Ritchie_HR,,Published,HR,,Sherin,,,"","","","",Assigned,Ritchie_HR,Update,"Sep 26, 2024, 04:48:21 AM",Deleted,"Sep 26, 2024, 04:48:21 AM",Deleted,36213325-41bb-4709-9abe-99bcb8f33df4,CDGC://36213325-41bb-4709-9abe-99bcb8f33df4,CDGC
DOM-33,DM2,dm2,Published,,,,john,,"","","","",Assigned,DM2,Update,"Mar 04, 2025, 11:59:35 AM",john,"Mar 05, 2025, 05:15:57 AM",john,4c4140a2-4e3f-4b08-9fb4-f2539b2561d8,CDGC://4c4140a2-4e3f-4b08-9fb4-f2539b2561d8,CDGC
DM004,HR Domain 1,Domain for employee and HR data,Published,Personnel,,,,,"","","","",,HR Domain 1,Update,"Jan 10, 2025, 08:25:30 AM",RiswinT,"Jan 10, 2025, 08:25:30 AM",RiswinT,60907174-bb38-43f2-abfe-e892aafacbea,CDGC://60907174-bb38-43f2-abfe-e892aafacbea,CDGC
Instructor-domain-7,Insurance,"Insurance details include the name of the insurance provider, policy number, insurance type, value, and validity.",Published,,,infa_data,infa_admin,,"","","","",Assigned,Insurance,Update,"Oct 01, 2024, 08:08:32 AM",infa_admin,"Oct 01, 2024, 08:08:32 AM",infa_admin,6b48bc97-e35b-4ab4-8248-5cc5354c1bd8,CDGC://6b48bc97-e35b-4ab4-8248-5cc5354c1bd8,CDGC
DOM-17,customers,,Published,,,RiswinT,,,"","","","",Assigned,customers,Update,"Jan 09, 2025, 11:24:21 AM",RiswinT,"Jan 09, 2025, 11:24:24 AM",RiswinT,6ced896e-2801-42bf-9d2a-442596a42c0a,CDGC://6ced896e-2801-42bf-9d2a-442596a42c0a,CDGC
DOM-18,RAH_FF_DOMAIN,,Published,FF_RAH_DOMAIN,,AswathyNagarajan;RahinR,RahinR,,"","","","",Assigned,RAH_FF_DOMAIN,Update,"Jan 10, 2025, 09:31:30 AM",RahinR,"Jan 10, 2025, 09:31:34 AM",RahinR,72405ab7-d259-4dd8-9ac2-e9bd2d2893bb,CDGC://72405ab7-d259-4dd8-9ac2-e9bd2d2893bb,CDGC
DOM-30,DOM_Person,,Published,,,,,,"","","","",,DOM_Person,Update,"Mar 04, 2025, 10:56:48 AM",john,"Mar 04, 2025, 10:56:48 AM",john,7c8d7d27-3573-43b0-959c-01e459cc9dc1,CDGC://7c8d7d27-3573-43b0-959c-01e459cc9dc1,CDGC
DOM-10,D_B2B_JOBS,,Published,JOB,,AswathyNagarajan;CajorinM,AswathyNagarajan;CajorinM,,"","","","",Assigned,D_B2B_JOBS,Update,"Sep 30, 2024, 10:47:40 AM",CajorinM,"Sep 30, 2024, 10:58:35 AM",CajorinM,83adb60f-6469-4d9d-a962-39acf0502bc9,CDGC://83adb60f-6469-4d9d-a962-39acf0502bc9,CDGC
DOM-23,test,,Published,,,Sherin,,,"","","","",Assigned,test,Update,"Feb 03, 2025, 05:00:19 AM",Sherin,"Feb 03, 2025, 05:00:23 AM",Sherin,a5568c1a-59a8-479e-b0b1-3de96e47ef38,CDGC://a5568c1a-59a8-479e-b0b1-3de96e47ef38,CDGC
Instructor-domain-3,Time Period Group Relationship,A time period group is a group of one or more time periods.,Published,,,infa_data,infa_admin,,"","","","",Assigned,Time Period Group Relationship,Update,"Oct 01, 2024, 08:08:32 AM",infa_admin,"Oct 01, 2024, 08:08:32 AM",infa_admin,ba364450-0056-426c-b2bd-265fe2932a78,CDGC://ba364450-0056-426c-b2bd-265fe2932a78,CDGC
Instructor-domain-1,Party,"Party is a person or an organization and is the main entity in the data model. Parties have characteristics, such as names, phone numbers, addresses, and taxation details. In a business-to- customer (B2C) scenario, a person is a customer. In a business-to-business (B2B) scenario, an organization is the customer. Not all parties are customers. A party can be a related organization or contact. Related organizations or a contacts might be potential customers. You do not capture the same level of detail for a related organization or a contact as you would for a customer role.",Published,,,infa_data,infa_admin,,"","","","",Assigned,Party,Update,"Oct 01, 2024, 08:08:32 AM",infa_admin,"Oct 01, 2024, 08:08:32 AM",infa_admin,cfefb780-1bc4-431a-8f89-4e05f6acbff2,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2,CDGC
DM001,Customer Domain 1,Domain related to customer information,Published,Client Domain,,,,,"","","","",,Customer Domain 1,Update,"Jan 10, 2025, 08:25:30 AM",RiswinT,"Jan 10, 2025, 08:25:30 AM",RiswinT,dba3f949-ae52-4a1e-9354-9040e7ad7d5c,CDGC://dba3f949-ae52-4a1e-9354-9040e7ad7d5c,CDGC
DOM-15,D_Demo,,Published,Demo,,,Jaishar,,"","","","",Assigned,D_Demo,Update,"Jan 08, 2025, 11:42:36 AM",Jaishar,"Jan 08, 2025, 11:42:40 AM",Jaishar,e16f4d29-faef-4617-8edc-b589c3d64d28,CDGC://e16f4d29-faef-4617-8edc-b589c3d64d28,CDGC
DOM-1,Emp-Domain,Name of the Domain,Published,ED,,,,,"","","","",,Emp-Domain,Update,"Jun 13, 2024, 07:35:40 AM",Deleted,"Jun 13, 2024, 07:35:40 AM",Deleted,f99de1b8-91dc-41d3-a89f-a10b5565ff11,CDGC://f99de1b8-91dc-41d3-a89f-a10b5565ff11,CDGC
DOM-40,domin_unifi_Employees,,Published,,,,,godw,"","","","",Assigned,domin_unifi_Employees,Update,"Mar 12, 2025, 09:30:07 AM",godw,"Mar 12, 2025, 09:30:12 AM",godw,0f26ab17-a769-4f0c-ad2d-0caffe17e876,CDGC://0f26ab17-a769-4f0c-ad2d-0caffe17e876,CDGC
DM003,Finance Domain 1,Domain for financial and accounting,Published,Billing Domain,,,,,"","","","",,Finance Domain 1,Update,"Jan 10, 2025, 08:25:30 AM",RiswinT,"Jan 10, 2025, 08:25:30 AM",RiswinT,4ea81418-58c6-43eb-a0a4-f4edbc6228d3,CDGC://4ea81418-58c6-43eb-a0a4-f4edbc6228d3,CDGC
DOM-38,_john_DOM_DBO,this is schema dbo from john ab,Published,,,,,,"","","","",,_john_DOM_DBO,Update,"Mar 11, 2025, 05:40:01 AM",abish,"Mar 11, 2025, 05:40:01 AM",abish,5630e2fb-f73d-4f2d-9701-3620b10a81a7,CDGC://5630e2fb-f73d-4f2d-9701-3620b10a81a7,CDGC
