core.externalId,core.name,Parent: Policy,core.description,core.assetLifecycle,com.infa.ccgf.models.governance.URL,com.infa.ccgf.models.governance.Comments,com.infa.ccgf.models.governance.effectiveDate,com.infa.ccgf.models.governance.endDate,com.infa.ccgf.models.governance.Type,com.infa.odin.models.custom.ca_1986084855431728706,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: Admin,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
Instructor-policy-26,9.2(e) Manifestly Public,Lawfulness of Processing Sensitive Personal Data | Instructor-policy-21,SAMPLE: Processing relates to personal data which are manifestly made public by the data subject;,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Lawfulness of Processing Sensitive Personal Data/9.2(e) Manifestly Public,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,0208ec80-8696-4051-a5a0-3380ea56064d,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb7e75f5-aebf-4769-9107-3e4fb543ee99/0208ec80-8696-4051-a5a0-3380ea56064d,CDGC
Instructor-policy-7,Client Management,Purpose of processing | Instructor-policy-3,SAMPLE: The purpose of conducting this process is for client management,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Purpose of processing/Client Management,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,022b2c5b-012c-456b-94ab-4a9aae7ead5d,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb59fc04-477d-4568-be9a-539ac46e4d3a/022b2c5b-012c-456b-94ab-4a9aae7ead5d,CDGC
Instructor-policy-72,Employee (Former),Data Subject Type Policy | Instructor-policy-67,SAMPLE: Former employee,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Data Subject Type Policy/Employee (Former),Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,0288b6e4-3b6e-4777-84dd-1d45131b569c,CDGC://5c69eaa8-4052-4251-ba0d-924f6657d0d4/0288b6e4-3b6e-4777-84dd-1d45131b569c,CDGC
Instructor-policy-127,Retain for 5 years from 01/01 of the year following the date of creation / distribution,Retention Schedule Policy | Instructor-policy-120,SAMPLE: 5 years from 01/01 of the year following the date of creation / distribution,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Retention Schedule Policy/Retain for 5 years from 01/01 of the year following the date of creation / distribution,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,06a94637-d181-4db8-81be-d92b3b0852c0,CDGC://5859737c-b6b8-4429-abde-eb8aac5ee7cf/06a94637-d181-4db8-81be-d92b3b0852c0,CDGC
Instructor-policy-111,PIA - YES Required,PIA Policies | Instructor-policy-110,SAMPLE: Privacy Impact Assessment (PIA) is required for this process,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,PIA Policies/PIA - YES Required,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,06ba74e7-f718-4054-aa27-c88b92caafaf,CDGC://c63f93d9-200e-42de-84fa-89147048f501/06ba74e7-f718-4054-aa27-c88b92caafaf,CDGC
Instructor-policy-27,9.2(f) Legal Defense,Lawfulness of Processing Sensitive Personal Data | Instructor-policy-21,"SAMPLE: Processing is necessary for the establishment, exercise or defense of legal claims or whenever courts are acting in their judicial capacity;",Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Lawfulness of Processing Sensitive Personal Data/9.2(f) Legal Defense,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,081d3c7d-dcfe-4fa6-9d80-5fcce55940c2,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb7e75f5-aebf-4769-9107-3e4fb543ee99/081d3c7d-dcfe-4fa6-9d80-5fcce55940c2,CDGC
Instructor-policy-141,Data must be 2-factor authentication password protected,Security Measures Policy | Instructor-policy-139,SAMPLE: Data must be 2-factor authentication password protected,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Security Measures Policy/Data must be 2-factor authentication password protected,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,1666bfe9-744a-46bf-915a-2e44f467a22a,CDGC://fe406c7a-5a05-42e1-bbf2-7d4e266102c9/1666bfe9-744a-46bf-915a-2e44f467a22a,CDGC
Instructor-policy-39,Business Contact Information,Personal Data Involved Policy | Instructor-policy-33,"SAMPLE: Contact information (Field examples: Postal address, Email Address, Telephone)",Published,,,,,Data Standards,,infa_data,infa_admin,,"","","","","",Assigned,Personal Data Involved Policy/Business Contact Information,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,2641c5fe-ffdc-4f1e-a009-fe3d114d4edb,CDGC://df55be59-ca57-414c-add9-c86ab10873a0/2641c5fe-ffdc-4f1e-a009-fe3d114d4edb,CDGC
Instructor-policy-94,YES - OK to Delete,Right to Erasure Policies | Instructor-policy-93,SAMPLE: YES - OK to Delete individual subject's data on request,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Right to Erasure Policies/YES - OK to Delete,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,2c049717-fc94-4570-8978-9d170f63386f,CDGC://b6e94052-b1c7-4b6e-b2c9-8324d1c83b7c/2c049717-fc94-4570-8978-9d170f63386f,CDGC
Instructor-policy-63,Biometric data,Protected Classification Policy | Instructor-policy-57,"SAMPLE: Biometric data (Finger print, iris etc.)",Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Protected Classification Policy/Biometric data,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,2d426080-d10f-4c06-b67d-44caf60770cf,CDGC://53d29c1a-7ba0-4dff-ba11-ca2baf804943/2d426080-d10f-4c06-b67d-44caf60770cf,CDGC
