core.externalId,core.name,core.description,Asset Type,HierarchicalPath,Created On,Created By,Modified On,Modified By,Identity,core.location,core.origin
DOMAIN-2,Demand Fulfillment,The Demand Fulfillment information,com.infa.ccgf.models.governance.Domain,Demand Fulfillment,"Jan 11, 2025, 08:11:19 AM",Selciya,"Jan 11, 2025, 08:11:19 AM",Selciya,02b1f2a7-3566-4846-b45e-932d6193efa0,CDGC://02b1f2a7-3566-4846-b45e-932d6193efa0,CDGC
SDOM-35,SD2,bye2,com.infa.ccgf.models.governance.SubDomain,DM2/SD2,"Mar 04, 2025, 11:59:35 AM",john,"Mar 04, 2025, 11:59:35 AM",john,02ec88b7-73ff-4c4f-a0a7-8710bed569c5,CDGC://4c4140a2-4e3f-4b08-9fb4-f2539b2561d8/02ec88b7-73ff-4c4f-a0a7-8710bed569c5,CDGC
Instructor-businessterm-50,Product Id Type,Flag that indicates whether the value is a Yes or a No for the specified lifestyle ID,com.infa.ccgf.models.governance.BusinessTerm,Product/Product Id Type,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,0388f509-cb99-434a-af87-c42b32a909db,CDGC://56298ec2-d512-44bf-849f-8d2680d1dfc6/0388f509-cb99-434a-af87-c42b32a909db,CDGC
GLOS-1054,Document ID,is a unique code assigned to a document which related to the performance management reports. It helps identify and manage documents efficiently.,com.infa.ccgf.models.governance.BusinessTerm,Business Glossary/Human Capital Management/Talent & Performance/Performance Management & Career Development/Document ID,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Sep 19, 2024, 06:58:25 AM",infa_admin,039ead91-bbc6-417b-b8c1-be2ca5b8d59d,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/90efae37-5038-47c0-9b26-e0b2d171614c/8fef368b-e25d-44c4-bf69-c5d27ddfd4e5/039ead91-bbc6-417b-b8c1-be2ca5b8d59d,CDGC
GLOS-981,Native Preferred Language,The  employee's native or preferred language within ZATCA.,com.infa.ccgf.models.governance.BusinessTerm,Business Glossary/Human Capital Management/Talent Acquisition/Hiring & Onboarding/Native Preferred Language,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,06202465-acbf-4e10-b60b-a798586be303,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/9c4da1a2-fb79-47f4-a0ff-077e35957e9c/7ff71694-939d-4427-b51e-95bb8276414e/06202465-acbf-4e10-b60b-a798586be303,CDGC
Instructor-businessterm-82,Preferred Contact Method,A net protected domain uses a third party service or appliance to filter and detect spam e-mail. The net protect Codes identify which service or appliance is monitoring a given network.,com.infa.ccgf.models.governance.BusinessTerm,Party/Person/Customer/Preferred Contact Method,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,07f47da2-a9e4-4c14-8905-47ad8b54ada3,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/d1868098-0fd2-454d-a55b-6b110d18f2ce/07f47da2-a9e4-4c14-8905-47ad8b54ada3,CDGC
Instructor-businessterm-121,Email Validation Status Code,Flag to indicate if address is registered,com.infa.ccgf.models.governance.BusinessTerm,Party/Party Electronic Address/Email Validation Status Code,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,0a2d1eeb-1e7e-4ed2-a6e0-47710d0dfbe1,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/b7540c7a-4038-4e02-a9fa-c9f51acf92a7/0a2d1eeb-1e7e-4ed2-a6e0-47710d0dfbe1,CDGC
PRC-14,Process Head,Process Head,com.infa.ccgf.models.governance.Process,Process Head,"Jan 20, 2025, 06:09:52 AM",AswathyNagarajan,"Jan 20, 2025, 06:09:52 AM",AswathyNagarajan,0b21622d-2df9-459a-b68f-6143bc9dfb9f,CDGC://0b21622d-2df9-459a-b68f-6143bc9dfb9f,CDGC
GLOS-996,Level 2 Type (Picklist Label),"The type or category of Level 2 in the position hierarchy, often based on structure.",com.infa.ccgf.models.governance.BusinessTerm,Business Glossary/Human Capital Management/HC COE/OD & Manpower Planning/Level 2 Type (Picklist Label),"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,0d8a0be1-b162-4d0c-98f3-4bed7298ac1b,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/d7855461-546b-487f-a589-593392eae9b2/e340a38e-6ac3-4db8-a04f-eb444b07b408/0d8a0be1-b162-4d0c-98f3-4bed7298ac1b,CDGC
BT-73,Salry,,com.infa.ccgf.models.governance.BusinessTerm,B2B_DWH_Sa/Employees/Salry,"Mar 03, 2025, 11:45:40 AM",Sanjai,"Mar 03, 2025, 11:45:40 AM",Sanjai,0dded4bd-aa0d-4ffb-9e1d-b60cd5aafcb3,CDGC://f7f172c4-8f8e-4a44-aa54-119b556f1b5f/a3ea8246-4df7-45e9-a95b-c1d87013e62b/0dded4bd-aa0d-4ffb-9e1d-b60cd5aafcb3,CDGC
